Query,Questions,Ground truth,Unnamed: 3,LLM+RAG+Name
158,Apa itu prodi informatika ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Harapan Negeri (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik untuk mengetahui lebih banyak tentang program kami.

Prodi Informatika di UHN I Gusti Bagus Sugriwa adalah sebuah program pendidikan tinggi yang dirancang untuk membekali mahasiswa dengan pengetahuan dan keterampilan mendalam di bidang ilmu komputer. Kami fokus pada pengembangan kemampuan analisis, pemecahan masalah, dan penerapan teknologi informasi untuk menjawab tantangan dunia digital saat ini dan masa depan.

Dengan visi menjadi prodi yang inovatif, unggul, dan adaptif hingga tahun 2045, kami menawarkan kurikulum yang terstruktur dengan baik, mencakup mata kuliah inti seperti Algoritma dan Struktur Data, Sistem Operasi, Jaringan Komputer, Pemrograman Berorientasi Objek, serta kecerdasan buatan (AI). Selain itu, kami juga mengintegrasikan pembelajaran praktis melalui laboratorium modern dan"
159,apa itu informatika?,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Dharma Nusa (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang apa itu informatika.

Informatika, seperti yang dijelaskan dalam deskripsi tersebut, adalah ilmu yang mempelajari cara kita mengolah, menyimpan, dan menyebarluaskan informasi menggunakan komputer. Bayangkan saja seperti ini: informatika adalah dasar dari semua hal digital yang kita gunakan sehari-hari – mulai dari aplikasi pesan instan hingga sistem perbankan online.

Di UHN, kami tidak hanya belajar dasar-dasarnya, tapi juga bagaimana menerapkan ilmu ini dengan sentuhan lokal. Kami fokus pada:

1. **Pengembangan Perangkat Lunak**: Membuat program komputer yang bermanfaat untuk kehidupan sehari-hari.
2. **Sistem Cerdas (AI)**: Belajar membuat mesin pintar yang bisa membantu kita, misalnya dalam bidang medis atau pendidikan.
3. **Teknologi Berbasis Budaya**: Menggabungkan teknologi modern dengan"
160,Apa itu informatika,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang apa itu informatika.

Jawabannya sederhana namun luas: Informatika adalah ilmu yang mempelajari cara kita mengolah, menyimpan, dan mendistribusikan informasi menggunakan teknologi komputer. Bayangkan saja seperti ini – dari membuat aplikasi di ponsel hingga menganalisis data untuk membantu petani meningkatkan hasil panen, semuanya melibatkan prinsip-prinsip informatika!

Di UHN Sugriwa, kami tidak hanya belajar dasar-dasar pemrograman atau jaringan komputer. Kami juga menekankan bagaimana teknologi bisa disesuaikan dengan kebutuhan dan konteks lokal. Misalnya, kami sedang mengembangkan sistem cerdas (AI) yang dapat membantu melestarikan bahasa daerah Bali, atau merancang aplikasi yang mempertimbangkan nilai-nilai gotong royong dalam desain antarmukanya.

Kami percaya bahwa teknologi harus bermanfaat bagi masyarakat"
161,Matakuliah apa saja ada disana,"Secara umum, terdapat matakuliah pengelolaan dan pengembangan perangkat lunak, pemrograman, pengelolaan basis data, kecerdasan buatan, matematika, jaringan komputer, logika, ada bahasa, agama, dan pancasila juga.",Matakuliah,"Selamat datang di Program Studi Informatika Universitas Hindu Dharma Nusantara (UHDN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik dengan program kami. Kami memahami bahwa Anda ingin mengetahui mata kuliah yang ditawarkan.

Berikut ini adalah gambaran umum mata kuliah inti dan pilihan yang biasanya tersedia dalam kurikulum Program Studi Informatika UHDN:

**Mata Kuliah Inti (Wajib):**

1. **Dasar-Dasar Pemrograman:** Pengenalan konsep pemrograman komputer menggunakan bahasa seperti Python atau Java.
2. **Struktur Data & Algoritma:** Belajar cara mengelola data secara efisien dan merancang solusi masalah menggunakan algoritma.
3. **Basis Data:** Memahami sistem penyimpanan dan manajemen data, termasuk SQL dan database relasional.
4. **Jaringan Komputer:** Prinsip-prinsip dasar jaringan, protokol komunikasi, dan topologi jaringan.
5. **Sistem Operasi:** Konsep dasar operasi sistem kom"
162,Susah kah masuk informatika,"Berkuliah di Informatika akan belajar dari dasar mengenai pengembangan perangkat lunak, bahasa pemrograman, serta hal-hal lainnya. Dosen akan membimbing mahasiswa hingga menguasai materi perkuliahan. Hal yang paling diperlukan adalah kemauan dan semangat untuk belajar. Apabila mahasiswa mengalami kesulitan dapat berdiskusi dengan dosen maupun senior.",Susah tidak,"Halo! Senang sekali Anda tertarik dengan Program Studi Informatika di UHN I Gusti Bagus Sugriwa. Pertanyaan Anda mengenai kesulitan masuk informatika adalah hal yang wajar, banyak calon mahasiswa yang merasakan hal serupa.

Secara umum, persaingan untuk masuk ke program informatika memang cukup ketat. Namun, jangan khawatir! Banyak mahasiswa berhasil lulus dengan kerja keras dan strategi belajar yang tepat. Berikut beberapa hal yang perlu dipertimbangkan:

1. **Kesiapan Akademik**: Materi informatika meliputi matematika (aljabar linear, kalkulus), logika, dan pemrograman. Pastikan Anda memiliki dasar yang kuat di mata pelajaran ini.
2. **Penguasaan Teknologi**: Keterampilan dasar menggunakan komputer dan pemahaman konsep-konsep teknis akan sangat membantu.
3. **Bahasa Inggris**: Sebagian besar materi pembelajaran dan penelitian menggunakan bahasa Inggris, jadi kemampuan komunikasi dalam bahasa Inggris"
163,Apa manfaat Informatika ?,"Informatika memberikan dampak sosial berupa kemudahan komunikasi, akses informasi yang cepat, dan peningkatan kolaborasi. Namun, terdapat juga tantangan seperti penyebaran informasi palsu, ketergantungan teknologi, pelanggaran privasi, serta kesenjangan digital antara kelompok masyarakat yang memiliki akses teknologi dan yang tidak.",Manfaat dan Keuntungan,"Selamat datang di Program Studi Informatika Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik dengan bidang ini.

Informatika menawarkan banyak manfaat, terutama dalam konteks pendidikan di UHN I Gusti Bagus Sugriwa. Berikut beberapa keuntungan utamanya:

**Manfaat Utama:**

1. **Peluang Karir Luas:** Lulusan Informatika memiliki prospek karir yang sangat baik, termasuk sebagai *Artificial Intelligence Engineer*, *Software Engineer*, asisten peneliti, atau instruktur Teknologi Informasi dan Komunikasi (TIK). Kurikulum kami dirancang untuk mempersiapkan Anda menghadapi tantangan industri terkini.

2. **Pendidikan Terjangkau & Mendukung:** Biaya kuliah di UHN I Gusti Bagus Sugriwa relatif terjangkau dengan UKT mulai dari Rp500.000 hingga Rp1.400.000 per semester. Selain itu, ada banyak kesempatan mendapatkan beasiswa seperti PIP dan DIPA, sehingga membantu"
164,apa itu prodi informatika,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda tertarik untuk mengetahui lebih banyak tentang kami.

Program Studi Informatika di UHN IGBS adalah program pendidikan tinggi yang fokus pada ilmu komputer dan teknologi informasi. Kami mempersiapkan mahasiswa untuk menjadi profesional IT yang kompeten di era digital. Berikut beberapa poin penting mengenai program ini:

**Apa itu Prodi Informatika?**

Prodi Informatika adalah bidang studi yang mencakup teori komputasi, pemrograman, desain sistem, jaringan komputer, keamanan siber, data science, dan aplikasi teknologi lainnya. Tujuan utamanya adalah melatih mahasiswa agar mampu merancang, mengembangkan, dan memelihara solusi teknologi yang inovatif dan bermanfaat bagi masyarakat.

**Mengapa Memilih Informatika di UHN IGBS?**

1. **Kurikulum Terkini:** Kami terus memperbarui kurikulum ses"
165,Apa itu informatika ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Selamat datang di Program Studi Informatika Universitas Hindu Negeri (UHN) I Gusti Bagus Sugriwa! Senang sekali Anda bertanya tentang apa itu informatika.

Jawabannya sederhana namun penting: Informatika adalah ilmu yang mempelajari bagaimana kita mengolah, menyimpan, dan mendistribusikan informasi dengan bantuan teknologi komputer. Bayangkan saja seperti ini – informatika adalah cara kita membuat mesin pintar bekerja untuk membantu kita dalam kehidupan sehari-hari.

Di UHN Sugriwa, kami tidak hanya belajar dasar-dasar pemrograman atau cara kerja komputer biasa. Kami juga menekankan hal-hal yang lebih spesifik:

*  **Pengembangan Perangkat Lunak:** Membuat aplikasi atau program yang bisa digunakan oleh banyak orang.
*  **Sistem Cerdas (AI):** Belajar bagaimana membuat komputer “berpikir” seperti manusia, misalnya untuk membantu diagnosis medis atau menganalisis data cuaca.
*  **Teknologi Berbasis Budaya:**  Kami sangat bang"
166,Apasih informatika itu? ,"Informatika di UHN Sugriwa adalah program studi yang menghasilkan lulusan yang mampu menciptakan perangkat lunak, aplikasi bidang AI, atau teknologi lainnya, atau disebut juga Lulusan bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti. Sehingga bisa membantu mempermudah kehidupan atau pekerjaan masyarakat.",Profil,"Halo! Selamat datang di Program Studi Informatika Universitas Hindu Dharma Nusa (UHN) I Gusti Bagus Sugriwa!

Jawabannya sederhana saja: **Informatika** itu ilmu yang mempelajari cara mengolah, menyimpan, dan menyebarkan informasi dengan bantuan komputer. Bayangkan seperti ini: kita belajar bagaimana membuat aplikasi, sistem pintar (seperti kecerdasan buatan atau AI), dan menerapkan teknologi agar sesuai dengan kebutuhan sehari-hari.

Di UHN, kita tidak hanya belajar teori, tapi juga langsung praktik. Misalnya, kamu bisa ikut proyek membuat aplikasi untuk membantu petani lokal, atau merancang sistem yang lebih efisien untuk bisnis-bisnis di Bali. Kita juga sering menggabungkan teknologi modern dengan nilai-nilai budaya Bali, jadi hasilnya lebih relevan dan bermanfaat bagi masyarakat.

Penasaran ingin tahu lebih banyak tentang mata kuliah apa saja yang ada di sini? Atau mungkin kamu tertarik dengan contoh-contoh proyek"
167,Apa sih itu irformatika? Dan apa aja si peluang pekerjaan infomatika itu ,"Setelah lulus, Setelah lulus dari Prodi Informatika UHN I Gusti Bagus Sugriwa Denpasar, bisa bekerja sebagai AI Engineer, Software Engineer, Asisten Peneliti, atau instruktur IT. Bisa bekerja pada berbagai bidang usaha, baik kesehatan, pemerintahan, pendidikan, Bank, e-commerce, pariwisata, atau software house, dan lain sebagainya.",Bidang Kerja,"Halo! Senang sekali Anda tertarik dengan bidang informatika, terutama di Universitas Harapan Negeri (UHN) I Gusti Bagus Sugriwa. Mari kita bahas lebih lanjut.

**Apa Itu Informatika?**

Informatika adalah ilmu yang mempelajari bagaimana informasi dapat direpresentasikan, disimpan, diproses, dianalisis, dan ditransmisikan menggunakan perangkat komputer dan sistem digital. Jadi, informatika bukan hanya soal belajar coding, tapi juga mencakup aspek-aspek penting lainnya seperti:

*  **Algoritma:** Cara menyelesaikan masalah secara sistematis.
*  **Struktur data:** Cara menyusun dan mengelola informasi dalam komputer.
*  **Jaringan komputer:** Bagaimana perangkat terhubung dan berkomunikasi.
*  **Keamanan siber:** Melindungi data dan sistem dari ancaman digital.
*  **Pemrograman:** Membuat instruksi untuk komputer agar melakukan tugas-tugas tertentu.

Di UHN I Gusti"
169,Apakah kalo kita tidak suka matematika bisa masuk ke jurusan informatika,"Siapapun bisa menjadi mahasiswa informatika. Hal mendasar yang diperlukan untuk menjadi mahasiswa informatika adalah keinginan untuk belajar. Dosen-dosen akan memandu kalian untuk memahami perkuliahan dengan baik. Mahasiswa akan diajak untuk mampu menyelesaikan masalahnya sendiri. Untuk menjadi mahasiswa Informatika, dibutuhkan keterampilan dasar seperti kemampuan berpikir logis, pemecahan masalah, serta pemahaman matematika dasar seperti logika dan aljabar. Kemampuan menggunakan komputer, memahami perintah teknis, serta literasi Bahasa Inggris juga sangat penting karena sebagian besar sumber belajar dan dokumentasi menggunakan bahasa tersebut. Sikap belajar yang mandiri, tidak mudah menyerah, terbuka terhadap pembaruan teknologi, dan mampu bekerja dalam tim juga menjadi bagian penting dari keberhasilan studi di bidang ini.",Matematika,"Halo! Senang bertemu dengan Anda sebagai calon mahasiswa di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Pertanyaan Anda sangat wajar – banyak orang merasa khawatir tentang hal serupa.

Jujur saja, matematika memang menjadi fondasi penting dalam dunia informatika. Namun, jangan khawatir jika Anda merasa kurang nyaman dengan matematika. Banyak mahasiswa informatika berhasil menyelesaikan studi meskipun awalnya memiliki tantangan di mata kuliah matematika. Berikut beberapa hal yang mungkin membantu:

1. **Fokus pada Pemahaman Konsep Dasar:** Meski terlihat rumit, sebagian besar materi matematika informatika (Logika Matematika, Aljabar Linier, Matematika Diskrit) lebih fokus pada pemahaman konsep daripada sekadar hafalan rumus. Di UHN I Gusti Bagus Sugriwa, misalnya, mata kuliah Logika Matematika mengajarkan cara berpikir sistematis, bukan hanya soal-soal rumit.

2. **Manfa"
170,Apa saja yang kita pelajari di mata kuliahan informatika,"Berkuliah di Informatika akan belajar mengenai pengembangan perangkat lunak, bahasa pemrograman seperti PHP, HMTL, CSS, Javascript, Java, maupun Python. Belajar pengembangan web, pengembangan sistem cerdas, sistem informasi, serta jaringan komputer. Masih banyak hal lain juga yang dipelajari di Informatika UHN I Gusti Bagus Sugriwa Denpasar yang berguna untuk mengembangkan teknologi, dan membantu masyarakat",Belajar apa?,"Halo! Selamat datang di Program Studi Informatika UHN I Gusti Bagus Sugriwa. Senang sekali Anda menanyakan tentang mata kuliah yang kami tawarkan.

Di Semester 1, salah satu mata kuliah wajib yang sangat penting bagi mahasiswa Informatika adalah **Jaringan Komputer**. Mata kuliah ini merupakan fondasi kuat untuk memahami cara kerja dunia digital modern. Berikut penjelasannya:

**Isi Materi Utama Jaringan Komputer:**

1. **Prinsip Dasar Komunikasi Data:** Kita belajar bagaimana informasi dikirimkan antara perangkat melalui jaringan.
2. **Arsitektur Jaringan:** Memahami struktur dasar dari sebuah jaringan, mulai dari perangkat hingga infrastruktur pendukungnya.
3. **Model OSI & TCP/IP:** Dua model standar penting yang menjelaskan lapisan-lapisan komunikasi data.
4. **Protokol Jaringan:** Belajar mengenai protokol seperti HTTP, FTP, DNS, dan lainnya yang menjadi 'aturan main'"
